r_ID,Status_Description,MCAT,GPA_Science ,GPA_Overall,CASPer,Gender,Ethnicity
1136,Reject Before Interview,509,3.87,3.9,1.59,Female,White/Caucasian
1137,Reject Before Interview,509,3.82,3.78,-0.23,Female,Asian
1138,Reject Before Interview,521,4,4,-0.81,Male,Unreported
1139,Reject Before Interview,495,2.07,2.16,-0.38,Male,White/Caucasian
1140,Reject Before Interview,494,3.35,3.28,0.69,Male,White/Caucasian
1141,Admitted,,4,4,0.33,Male,Multiple
1142,Reject Before Interview,492,2.73,3.15,-0.2,Female,White/Caucasian
1143,Reject Before Interview,504,3.38,3.33,-0.54,Male,Asian
1144,Reject Before Interview,506,3.82,3.85,-0.06,Male,Unreported
1145,Reject Before Interview,514,3.71,3.78,-0.83,Male,Multiple
1146,Reject Before Interview,512,3.55,3.53,-1.06,Male,White/Caucasian
1147,Reject Before Interview,510,3.33,3.4,-0.7,Male,White/Caucasian
1148,Reject Before Interview,520,4,4,,Female,Asian
1149,Reject Before Interview,517,3.96,3.97,-0.9,Female,White/Caucasian
1150,Reject Before Interview,496,3.7,3.73,,Male,White/Caucasian
1151,Reject Before Interview,508,3.75,3.71,0.01,Female,Hispanic
1152,Reject Before Interview,508,3.76,3.83,-0.47,Male,White/Caucasian
1153,Reject Before Interview,505,3.09,3.33,1.5,Female,African American
1154,Withdrawn Through Match,505,3.7,3.86,1.11,Female,White/Caucasian
1155,Reject Before Interview,519,4,4,1.85,Female,Unreported
1156,Reject Before Interview,503,3.68,3.71,-2.21,Male,Asian
1157,Reject Before Interview,520,4,3.97,-0.06,Male,Asian
1158,Reject Before Interview,517,3.73,3.83,-0.83,Male,White/Caucasian
1159,Reject Before Interview,491,2.77,3.08,-0.68,Male,African American
1160,Reject Before Interview,504,3.99,3.67,-1.49,Male,Asian
1161,Reject Before Interview,508,3.93,3.91,0.08,Male,White/Caucasian
1162,Reject Before Interview,,3.56,3.52,,Female,White/Caucasian
1163,Reject Before Interview,504,3.94,3.97,1.37,Female,White/Caucasian
1164,Waitlist Offered,507,3.83,3.71,0.88,Female,White/Caucasian
1165,Reject Before Interview,495,3.74,3.76,0.51,Female,Asian
1166,Reject Before Interview,509,3.22,3.51,0.66,Female,Unreported
1167,Reject Before Interview,507,3.7,3.85,0.69,Female,Hispanic
1168,Reject Before Interview,509,3.57,3.69,-0.37,Female,White/Caucasian
1169,Reject Before Interview,516,3.33,3.41,0.74,Male,Asian
1170,Reject Before Interview,488,3.19,3.24,-1.37,Male,Hispanic
1171,Reject Before Interview,503,3.64,3.71,-0.31,Female,White/Caucasian
1172,Reject Before Interview,498,3.54,3.6,0.18,Female,Hispanic
1173,Reject Before Interview,499,3.87,3.89,1.16,Female,Asian
1174,Reject Before Interview,506,3.91,3.92,1.12,Female,White/Caucasian
1175,Waitlist Offered,508,3.86,3.7,-1.56,Male,White/Caucasian
1176,Reject Before Interview,498,3.55,3.7,0,Female,Multiple
1177,Withdrawn After Acceptance,508,3.77,3.84,-0.66,Male,Asian
1178,Reject Before Interview,501,2.81,2.98,-0.29,Female,Asian
1179,Reject Before Interview,506,3.52,3.55,-1.24,Male,Hispanic
1180,Reject Before Interview,513,3.29,3.51,1.18,Female,Hispanic
1181,Reject Before Interview,509,3.26,3.42,0.65,Male,Hispanic
1182,Reject Before Interview,512,4,4,0.53,Female,White/Caucasian
1183,Reject Before Interview,514,4,4,1.24,Male,Asian
1184,Reject Before Interview,490,2.88,3.21,,Female,White/Caucasian
1185,Reject Before Interview,508,3.48,3.83,0.34,Decline to Answer,Asian
1186,Reject Before Interview,510,3.46,3.68,1.83,Female,White/Caucasian
1187,Reject After Interview,505,3.75,3.83,0.28,Female,Asian
1188,Admitted,,4,4,1.02,Male,Asian
1189,Reject Before Interview,510,3.87,3.91,0.66,Female,Asian
1190,Reject Before Interview,505,3.78,3.81,0.48,Female,White/Caucasian
1191,Reject Before Interview,502,3.43,3.58,0.18,Female,White/Caucasian
1192,Reject Before Interview,482,2.48,2.83,,Male,Hispanic
1193,Reject Before Interview,,2.77,3.25,-0.15,Female,White/Caucasian
1194,Reject After Interview,500,3.59,3.64,-0.83,Male,Hispanic
1195,Reject Before Interview,502,3.95,3.95,,Female,White/Caucasian
1196,Reject Before Interview,513,3.83,3.89,0.36,Female,White/Caucasian
1197,Withdrawal Before Interview,,3.74,3.77,-1.49,Male,Hispanic
1198,Reject Before Interview,513,3.6,3.57,0,Male,Asian
1199,Reject Before Interview,508,3.18,3.4,1.02,Female,White/Caucasian
1200,Withdrawn within Match Range,519,3.93,3.96,-1.68,Female,Multiple
1201,Reject Before Interview,,2.36,2.54,,Male,White/Caucasian
1202,Withdrawn within Match Range,513,3.96,3.95,0.44,Male,Asian
1203,Waitlist Offered,510,3.68,3.69,1.31,Male,Unreported
1204,Reject Before Interview,503,2.65,2.97,0.61,Female,White/Caucasian
1205,Reject Before Interview,493,3.42,3.64,-0.48,Female,African American
1206,Reject Before Interview,507,3.86,3.95,0,Male,Asian
1207,Reject Before Interview,504,3.75,3.77,1.08,Female,Asian
1208,Reject Before Interview,514,3.96,3.97,0.97,Male,White/Caucasian
1209,Reject Before Interview,487,3.37,3.41,-0.82,Female,Hispanic
1210,Reject Before Interview,520,3.94,3.97,0.88,Female,Asian
1211,Reject Before Interview,511,2.59,3.23,1.64,Male,Hispanic
1212,Reject Before Interview,504,3.41,3.56,0.28,Female,Hispanic
1213,Reject Before Interview,505,3.51,3.64,0.66,Male,Asian
1214,Reject Before Interview,506,2.33,2.75,0.5,Female,White/Caucasian
1215,Reject Before Interview,,3.4,3.59,,Female,Multiple
1216,Reject Before Interview,508,2.97,3.07,-0.17,Female,African American
1217,Reject Before Interview,520,4,4,,Female,Multiple
1218,Reject Before Interview,506,2.9,3.35,-1.5,Female,Hispanic
1219,Reject Before Interview,500,3.84,3.89,,Male,White/Caucasian
1220,Reject Before Interview,505,3.36,3.63,-0.22,Male,Asian
1221,Offer Declined,517,3.5,3.74,-0.7,Male,Asian
1222,Reject Before Interview,506,3.51,3.66,-1.62,Male,White/Caucasian
1223,Reject Before Interview,495,3.15,3.53,0.67,Female,White/Caucasian
1224,Reject Before Interview,497,2.84,3.17,,Female,White/Caucasian
1225,Reject Before Interview,506,3.16,3.24,-0.97,Female,Hispanic
1226,Reject Before Interview,500,3.56,3.67,-1.16,Female,Hispanic
1227,Reject Before Interview,507,3.68,3.79,,Female,Asian
1228,Reject Before Interview,490,3.39,3.49,-2.17,Female,Hispanic
1229,Reject Before Interview,491,3.21,3.42,-1.39,Male,White/Caucasian
1230,Reject After Interview,505,3.85,3.9,0.4,Male,Asian
1231,Reject Before Interview,512,3.19,3.38,0.18,Female,White/Caucasian
1232,Reject Before Interview,491,3.25,3.39,,Male,African American
1233,Reject Before Interview,519,3.93,3.86,,Female,Asian
1234,Reject Before Interview,496,3.48,3.51,-0.07,Male,Hispanic
1235,Prelim Reject,505,3.92,3.96,,Female,International
1236,Reject Before Interview,515,4,4,0.51,Female,Asian
1237,Reject Before Interview,500,3.54,3.56,1.52,Male,Asian
1238,Reject Before Interview,517,3.37,3.67,0.4,Male,Asian
1239,Reject Before Interview,513,3.42,3.62,0.95,Female,Hispanic
1240,Reject Before Interview,487,4,4,-1.16,Female,Hispanic
1241,Reject Before Interview,514,3.3,3.58,1.62,Female,Asian
1242,Reject Before Interview,510,3.65,3.72,0.5,Male,Asian
1243,Withdrawn After Acceptance,519,4,3.93,1.09,Male,Asian
1244,Reject Before Interview,496,3.53,3.66,0,Male,White/Caucasian
1245,Reject Before Interview,504,3.19,3.56,-0.83,Female,Asian
1246,Reject Before Interview,510,3.76,3.82,-0.01,Female,Multiple
1247,Reject Before Interview,512,4,4,0.02,Male,Unreported
1248,Reject Before Interview,507,3.48,3.73,0.89,Female,Multiple
1249,Reject Before Interview,507,3.56,3.87,-0.15,Female,White/Caucasian
1250,Reject Before Interview,503,3.46,3.47,-1.04,Female,White/Caucasian
1251,Reject Before Interview,514,3.56,3.76,-0.37,Male,White/Caucasian
1252,Reject Before Interview,513,3.86,3.86,,Male,Hispanic
1253,Reject Before Interview,510,3.65,3.65,-1.39,Male,White/Caucasian
1254,Waitlist Offered,510,3.25,3.44,-1.96,Male,White/Caucasian
1255,Reject Before Interview,520,3.72,3.87,-1.41,Male,Asian
1256,Reject Before Interview,507,3.3,3.44,1.5,Female,Asian
1257,Reject Before Interview,515,4,4,-0.37,Male,White/Caucasian
1258,Reject Before Interview,508,3.74,3.71,-2.04,Male,White/Caucasian
1259,Reject Before Interview,507,3.16,3.41,0,Male,Asian
1260,Reject Before Interview,497,2.58,2.93,1.91,Female,Asian
1261,Reject Before Interview,519,3.87,3.9,0.79,Female,Asian
1262,Reject Before Interview,511,3.26,3.61,,Female,White/Caucasian
1263,Reject Before Interview,518,4,3.97,,Male,Asian
1264,Reject Before Interview,510,3.56,3.68,0.51,Male,White/Caucasian
1265,Reject Before Interview,507,3.37,3.6,-0.31,Female,White/Caucasian
1266,Reject Before Interview,512,3.94,3.96,,Male,White/Caucasian
1267,Reject Before Interview,509,3.69,3.79,0.58,Female,White/Caucasian
1268,Reject Before Interview,512,3.48,3.57,-0.95,Male,Unreported
1269,Reject Before Interview,485,3.73,3.3,-1.96,Female,African American
1270,Withdrawn within Match Range,514,4,4,0.81,Female,Asian
1271,Waitlist Declined,505,3.62,3.68,1.29,Female,White/Caucasian
1272,Reject Before Interview,505,2.59,2.97,-0.27,Female,African American
1273,Withdrawn Through Match,508,3.72,3.83,1.16,Male,Asian
1274,Withdrawn Through Match,511,4,4,1.48,Male,White/Caucasian
1275,Reject Before Interview,513,3.75,3.69,0.81,Female,White/Caucasian
1276,Reject Before Interview,514,3.67,3.73,-0.37,Female,Unreported
1277,Reject After Interview,515,3.77,3.86,-1.17,Male,White/Caucasian
1278,Reject Before Interview,510,3.96,3.98,-1.8,Female,African American
1279,Reject Before Interview,506,3.36,3.24,-1.95,Male,White/Caucasian
1280,Reject Before Interview,481,3.86,3.81,,Male,Hispanic
1281,Reject Before Interview,485,3.56,3.65,-1.24,Female,Asian
1282,Reject Before Interview,503,3.87,3.85,-1.96,Male,Asian
1283,Reject Before Interview,507,3.79,3.75,-0.27,Female,Asian
1284,Reject Before Interview,496,3.34,3.77,-1.27,Female,White/Caucasian
1285,Reject Before Interview,506,3.67,3.73,-1.2,Female,White/Caucasian
1286,Reject Before Interview,507,3.08,3.38,-0.4,Female,African American
1287,Reject Before Interview,507,4,3.98,0.01,Male,Asian
1288,Reject Before Interview,506,4,3.98,-0.95,Male,Asian
1289,Reject Before Interview,474,3.17,3.56,,Female,Asian
1290,Reject Before Interview,519,3.95,3.97,-0.11,Male,White/Caucasian
1291,Reject Before Interview,503,3.37,3.53,0.04,Female,Asian
1292,Reject Before Interview,497,3.5,3.68,0.02,Female,Hispanic
1293,Reject Before Interview,506,3.85,3.89,0.67,Female,Multiple
1294,Admitted,507,3.01,3.2,0.43,Male,Multiple
1295,Reject Before Interview,510,3.89,3.91,0.73,Female,White/Caucasian
1296,Reject Before Interview,510,4,4,0.81,Male,White/Caucasian
1297,Reject After Interview,507,3.63,3.54,0.5,Male,Hispanic
1298,Reject Before Interview,511,3.52,3.59,-1.04,Male,Hispanic
1299,Reject Before Interview,493,2.89,3.15,-0.29,Male,African American
1300,Reject Before Interview,488,2.95,3.25,-0.51,Male,White/Caucasian
1301,Prelim Reject,505,3.41,3.43,-0.1,Female,International
1302,Withdrawn within Match Range,522,4,4,0,Female,Asian
1303,Reject Before Interview,510,3.87,3.94,-0.27,Male,White/Caucasian
1304,Reject Before Interview,506,3.82,3.83,-1.11,Male,White/Caucasian
1305,Reject Before Interview,503,3.23,3.41,-1.37,Male,Hispanic
1306,Reject Before Interview,492,3.46,3.47,-2.29,Male,African American
1307,Waitlist Offered,513,3.77,3.86,-1.38,Female,White/Caucasian
1308,Reject Before Interview,496,2.91,3.1,,Female,Asian
1309,Withdrawn within Match Range,513,3.69,3.83,0.16,Female,White/Caucasian
1310,Reject Before Interview,512,3.71,3.87,,Female,White/Caucasian
1311,Reject Before Interview,510,3.74,3.81,-0.66,Male,Asian
1312,Reject Before Interview,503,3.74,3.8,1.31,Male,Multiple
1313,Reject Before Interview,512,3.75,3.83,-1.68,Male,Asian
1314,Reject Before Interview,517,3.77,3.81,-0.89,Male,Asian
1315,Reject Before Interview,508,3.02,3.25,-1.01,Male,White/Caucasian
1316,Reject Before Interview,497,4,4,-1.17,Female,Asian
1317,Withdrawn Through Match,511,4,4,,Male,White/Caucasian
1318,Reject Before Interview,517,3.26,3.4,1.08,Female,White/Caucasian
1319,Reject Before Interview,503,3.78,3.83,-0.15,Male,Hispanic
1320,Reject Before Interview,506,3.84,3.77,-0.94,Male,Asian
1321,Reject Before Interview,510,3.73,3.79,-0.43,Female,White/Caucasian
1322,Reject Before Interview,507,3.32,3.6,-1.1,Male,White/Caucasian
1323,Reject Before Interview,513,3.97,3.96,-0.29,Female,Unreported
1324,Reject After Interview,504,3.67,3.73,-0.2,Female,White/Caucasian
1325,Reject Before Interview,521,3.83,3.82,0.88,Female,White/Caucasian
1326,Reject Before Interview,497,3.93,3.96,,Male,Asian
1327,Reject Before Interview,508,3.2,3.53,-1.42,Female,White/Caucasian
1328,Admitted,511,3.37,3.57,-1.62,Male,White/Caucasian
1329,Reject Before Interview,515,3.94,3.96,-0.03,Female,Unreported
1330,Reject Before Interview,492,3.45,3.66,-0.74,Female,White/Caucasian
1331,Reject Before Interview,485,2.79,3.11,-1.64,Female,African American
1332,Reject After Interview,505,4,3.97,0.09,Male,Asian
1333,Reject Before Interview,513,3.71,3.81,1.24,Female,White/Caucasian
1334,Reject Before Interview,510,3.92,3.94,-0.81,Male,Hispanic
1335,Admitted,504,3.8,3.91,-0.02,Female,Multiple
1336,Reject Before Interview,517,3.77,3.78,-0.29,Male,White/Caucasian
1337,Reject After Interview,513,3.91,3.94,1.75,Female,White/Caucasian
1338,Reject Before Interview,506,3.6,3.65,-1.02,Male,Hispanic
1339,Reject Before Interview,505,4,4,0.36,Male,White/Caucasian
1340,Reject Before Interview,505,3.71,3.84,-1.24,Female,Asian
1341,Admitted,511,4,4,-1.06,Male,White/Caucasian
1342,Withdrawn within Match Range,518,4,3.97,1.57,Male,Asian
1343,Reject Before Interview,514,4,4,,Male,White/Caucasian
1344,Reject Before Interview,503,3.85,3.88,-1.68,Female,Asian
1345,Reject Before Interview,500,3.93,3.97,-0.55,Female,Asian
1346,Admitted,513,3.7,3.87,-0.04,Male,Asian
1347,Reject Before Interview,495,3.68,3.81,-0.87,Female,African American
1348,Reject Before Interview,505,3.92,3.95,-0.65,Male,White/Caucasian
1349,Reject Before Interview,495,3.3,3.53,0.42,Male,Hispanic
1350,Withdrawn After Acceptance,514,3.86,3.93,-0.12,Female,Asian
1351,Reject Before Interview,503,3.24,3.51,-0.4,Female,Hispanic
1352,Reject Before Interview,507,3.31,3.44,-0.47,Male,African American
1353,Reject Before Interview,506,3.51,3.63,0.02,Female,Multiple
1354,Reject Before Interview,511,2.94,3.16,-2.09,Male,Asian
1355,Reject Before Interview,504,3.83,3.9,-0.24,Female,White/Caucasian
1356,Reject Before Interview,498,3.1,3.42,0,Male,African American
1357,Reject Before Interview,,3.93,3.96,,Male,Asian
1358,Reject Before Interview,512,3.66,3.78,0.92,Female,White/Caucasian
1359,Reject Before Interview,489,2.56,2.93,,Female,Hispanic
1360,Reject Before Interview,511,3.72,3.83,0.09,Male,Hispanic
1361,Withdrawn within Match Range,510,3.42,3.69,0.99,Male,Hispanic
1362,Reject Before Interview,519,3.62,3.7,1.62,Male,African American
1363,Reject Before Interview,496,3.51,3.79,-1.75,Female,White/Caucasian
1364,Admitted,503,3.9,3.93,-0.69,Male,Hispanic
1365,Reject After Interview,510,3.6,3.66,0.66,Male,Asian
1366,Reject Before Interview,505,3.63,3.72,,Female,White/Caucasian
1367,Withdrawal Before Interview,523,4,4,-0.34,Male,Asian
1368,Reject Before Interview,522,3.86,3.92,-0.44,Male,White/Caucasian
1369,Admitted,509,4,4,-0.92,Male,Hispanic
1370,Waitlist Offered,511,3.93,3.97,,Male,Hispanic
1371,Reject Before Interview,515,3.58,3.72,0.42,Female,Asian
1372,Reject Before Interview,510,3.53,3.71,0.25,Male,Asian
1373,Reject Before Interview,506,3.48,3.61,-0.85,Male,Multiple
1374,Reject Before Interview,510,3.96,3.95,-2.5,Male,Hispanic
1375,Reject Before Interview,497,3.73,3.77,1.25,Female,Asian
1376,Reject Before Interview,509,3.89,3.95,1.24,Male,Unreported
1377,Reject Before Interview,517,3.88,3.94,-0.18,Female,White/Caucasian
1378,Reject Before Interview,514,3.5,3.54,-1.56,Male,Hispanic
1379,Withdrawn within Match Range,522,4,4,0.29,Male,Asian
1380,Reject Before Interview,,3.94,3.9,-1.71,Female,White/Caucasian
1381,Reject Before Interview,508,3.28,3.69,0.19,Female,White/Caucasian
1382,Reject Before Interview,497,3.95,3.93,,Female,White/Caucasian
1383,Reject Before Interview,511,2.83,2.92,,Female,White/Caucasian
1384,Reject Before Interview,493,3.14,3.15,-2.29,Female,Asian
1385,Reject Before Interview,510,3.78,3.82,0.61,Female,White/Caucasian
1386,Reject Before Interview,494,3.94,3.92,-0.43,Female,White/Caucasian
1387,Reject Before Interview,494,3.02,3.41,-2.13,Male,Asian
1388,Reject Before Interview,517,3.53,3.75,-0.87,Male,White/Caucasian
1389,Reject Before Interview,513,3.73,3.85,-0.95,Female,Asian
1390,Reject Before Interview,507,3.87,3.9,1.21,Female,Asian
1391,Reject Before Interview,510,3.75,3.56,-1.4,Male,White/Caucasian
1392,Reject Before Interview,511,3.53,3.58,-2,Male,White/Caucasian
1393,Withdrawn Through Match,505,3.21,3.41,1,Female,Asian
1394,Reject Before Interview,495,3.07,3.37,0.58,Female,White/Caucasian
1395,Reject Before Interview,508,2.89,3.12,0.66,Male,Hispanic
1396,Reject Before Interview,516,3.83,3.84,0.11,Male,Asian
1397,Reject Before Interview,520,3.66,3.72,-0.15,Male,Asian
1398,Withdrawn Through Match,520,4,3.8,-0.15,Male,Hispanic
1399,Reject Before Interview,518,3.19,3.59,0.89,Male,Asian
1400,Reject After Interview,513,4,4,-1.15,Male,Asian
1401,Reject Before Interview,503,2.94,3.17,-1.14,Male,American Indian
1402,Reject Before Interview,506,3.33,3.38,-1.47,Male,African American
1403,Reject Before Interview,507,3.46,3.73,0.89,Female,White/Caucasian
1404,Reject Before Interview,509,3.92,3.94,-0.66,Male,Asian
1405,Reject Before Interview,494,3.55,3.7,-0.07,Female,Hispanic
1406,Reject Before Interview,503,3.46,3.64,1.17,Male,Asian
1407,Reject Before Interview,501,3.14,3.63,-0.6,Female,Hispanic
1408,Withdrawn After Acceptance,504,3.8,3.86,0.07,Female,Hispanic
1409,Reject Before Interview,521,4,4,1.74,Male,White/Caucasian
1410,Reject Before Interview,510,3.83,3.8,1.06,Male,Asian
1411,Reject Before Interview,505,3.71,3.81,1.33,Male,Hispanic
1412,Reject Before Interview,502,3.6,3.68,-1.61,Male,White/Caucasian
1413,Reject Before Interview,482,2.72,3.38,,Female,Hispanic
1414,Prelim Reject,490,2.85,3.37,,Male,Hispanic
1415,Reject Before Interview,508,2.68,2.96,1.08,Male,White/Caucasian
1416,Reject Before Interview,489,3.06,3.22,,Female,Asian
1417,Reject Before Interview,515,3.45,3.41,-0.34,Male,Asian
1418,Reject Before Interview,502,3.39,3.47,0.26,Female,Hispanic
1419,Reject Before Interview,487,3.71,3.8,0,Female,White/Caucasian
1420,Reject Before Interview,507,3.55,3.73,2.56,Male,White/Caucasian
1421,Reject Before Interview,497,2.81,3.15,-1.78,Female,Hispanic
1422,Admitted,509,3.83,3.86,0.33,Male,White/Caucasian
1423,Reject Before Interview,506,3.16,3.38,0.99,Male,Hispanic
1424,Reject Before Interview,503,3.32,3.56,0.04,Male,White/Caucasian
1425,Reject Before Interview,511,2.99,3.21,,Male,Multiple
1426,Admitted,511,3.88,3.84,-0.31,Male,Asian
1427,Withdrawn Through Match,517,3.9,3.93,1.66,Male,White/Caucasian
1428,Reject Before Interview,508,3.23,3.39,-0.04,Male,Hispanic
1429,Reject Before Interview,510,3.7,3.75,,Male,Asian
1430,Reject Before Interview,489,2.96,3.14,0,Male,Hispanic
1431,Withdrawn Through Match,502,3.71,3.83,-1.5,Female,African American
1432,Reject Before Interview,501,3.94,3.97,-0.23,Female,White/Caucasian
1433,Reject Before Interview,499,3.82,3.82,-0.28,Male,White/Caucasian
1434,Reject Before Interview,518,3.46,3.56,,Male,African American
1435,Reject Before Interview,507,3.37,3.62,0.54,Female,Asian
1436,Reject Before Interview,508,3.54,3.61,0.76,Female,Asian
1437,Reject Before Interview,494,3.72,3.82,0.99,Female,White/Caucasian
1438,Reject Before Interview,504,3.58,3.76,0.5,Female,White/Caucasian
1439,Withdrawal Before Interview,,3.68,3.75,,Female,White/Caucasian
1440,Reject Before Interview,506,3.44,3.72,-0.02,Female,White/Caucasian
1441,Withdrawn After Acceptance,510,3.65,3.87,1.74,Female,White/Caucasian
1442,Reject Before Interview,507,3.72,3.79,0.02,Female,Asian
1443,Reject Before Interview,507,3.55,3.64,-2.07,Male,White/Caucasian
1444,Reject Before Interview,514,3.95,3.97,,Male,White/Caucasian
1445,Reject Before Interview,512,3.79,3.88,-1.27,Male,Asian
1446,Reject After Interview,514,3.94,3.97,0.42,Male,White/Caucasian
1447,Reject Before Interview,481,2.51,3.13,-0.5,Female,Asian
1448,Reject Before Interview,489,3.71,3.63,-2.73,Female,African American
1449,Withdrawn After Acceptance,522,3.94,3.93,0,Female,White/Caucasian
1450,Reject Before Interview,483,3.08,3.25,-1.09,Female,African American
1451,Reject Before Interview,508,3.48,3.65,-0.22,Male,Asian
1452,Reject Before Interview,515,3.85,3.85,-0.83,Male,Multiple
1453,Reject Before Interview,502,3.02,3.16,-1.78,Female,Hispanic
1454,Reject Before Interview,507,3.17,3.49,0.01,Female,White/Caucasian
1455,Reject Before Interview,506,3.43,3.58,0.16,Male,White/Caucasian
1456,Reject Before Interview,497,3.6,3.74,0.18,Female,Hispanic
1457,Reject Before Interview,506,3.73,3.79,0.84,Female,Asian
1458,Reject Before Interview,509,3.92,3.94,1.79,Male,Asian
1459,Reject Before Interview,515,3.75,3.84,0.98,Female,Asian
1460,Reject Before Interview,512,2.94,3.09,-1.53,Female,Hispanic
1461,Reject Before Interview,507,3.7,3.79,0.71,Female,Asian
1462,Reject Before Interview,509,3.37,3.65,-0.52,Female,White/Caucasian
1463,Reject Before Interview,511,3.93,3.97,-1.08,Male,Asian
1464,Reject Before Interview,496,3.54,3.76,-0.29,Female,Hispanic
1465,Reject Before Interview,500,3.45,3.69,,Female,African American
1466,Reject Before Interview,511,3.78,3.87,0,Female,Asian
1467,Prelim Reject,514,3.14,3.27,,Male,Hispanic
1468,Reject Before Interview,508,3.73,3.79,,Female,White/Caucasian
1469,Reject Before Interview,505,3.21,3.49,-1.64,Female,White/Caucasian
1470,Withdrawal Before Interview,496,3.27,3.4,,Female,White/Caucasian
1471,Reject Before Interview,511,2.7,3.32,-0.62,Male,African American
1472,Reject Before Interview,494,3.06,3.44,-0.2,Female,White/Caucasian
1473,Reject Before Interview,497,3.66,3.8,-1.49,Female,White/Caucasian
1474,Reject Before Interview,477,1.74,2.11,-2.45,Female,Hispanic
1475,Reject Before Interview,510,3.78,3.81,-0.45,Male,White/Caucasian
1476,Reject Before Interview,485,3.5,3.64,,Female,Hispanic
1477,Reject Before Interview,504,3.37,3.65,-0.69,Female,Hispanic
1478,Reject Before Interview,505,3.83,3.9,,Female,Hispanic
1479,Reject Before Interview,488,2.36,2.78,-2,Male,Hispanic
1480,Reject Before Interview,510,3.56,3.77,0.51,Female,Asian
1481,Withdrawn After Acceptance,528,4,3.99,-0.65,Male,White/Caucasian
1482,Reject Before Interview,511,3.4,3.65,0.93,Female,African American
1483,Reject Before Interview,506,3.45,3.51,-2.04,Male,Asian
1484,Reject Before Interview,502,3.06,3.28,-0.23,Male,White/Caucasian
1485,Reject Before Interview,503,2.62,2.64,-2.03,Male,African American
1486,Reject Before Interview,511,3.06,3.29,,Female,Multiple
1487,Offer Declined,524,4,4,-0.56,Female,Hispanic
1488,Reject After Interview,512,3.84,3.8,-1.35,Male,Asian
1489,Admitted,517,4,4,,Female,White/Caucasian
1490,Reject Before Interview,505,3.59,3.79,,Female,White/Caucasian
1491,Reject Before Interview,504,3.46,3.62,,Female,White/Caucasian
1492,Reject Before Interview,507,3.06,3.3,-0.29,Male,White/Caucasian
1493,Reject Before Interview,511,4,3.95,0.44,Female,Asian
1494,Reject Before Interview,508,3.45,3.5,1.18,Female,White/Caucasian
1495,Waitlist Offered,509,3.83,3.91,0.29,Female,White/Caucasian
1496,Reject After Interview,505,3.18,3.43,-0.31,Female,African American
1497,Withdrawn Through Match,510,4,4,-0.67,Female,Asian
1498,Reject Before Interview,509,3.58,3.68,,Male,Asian
1499,Reject Before Interview,495,2.44,2.68,0.84,Female,Asian
1500,Reject Before Interview,510,3.8,3.89,0.01,Female,White/Caucasian
1501,Reject Before Interview,502,3.24,3.53,0.17,Male,Multiple
1502,Reject Before Interview,508,3.96,3.98,0.34,Female,Multiple
1503,Reject Before Interview,502,3.8,3.81,-0.37,Male,Asian
1504,Reject Before Interview,492,3.8,3.87,-0.98,Female,Asian
1505,Admitted,520,4,4,-0.33,Female,Asian
1506,Reject Before Interview,503,2.87,3.14,1.25,Female,White/Caucasian
1507,Reject Before Interview,520,3.87,3.94,-0.03,Male,White/Caucasian
1508,Reject Before Interview,505,3.73,3.72,0.59,Male,Asian
1509,Reject Before Interview,508,3.81,3.9,0,Female,White/Caucasian
1510,Reject Before Interview,503,3.32,3.58,0.35,Male,White/Caucasian
1511,Reject Before Interview,509,3.78,3.86,-0.56,Female,Unreported
1512,Reject Before Interview,514,3.76,3.83,0.44,Male,White/Caucasian
1513,Reject Before Interview,502,3.32,3.61,,Female,White/Caucasian
1514,Reject Before Interview,508,4,4,-1.05,Female,White/Caucasian
1515,Reject Before Interview,512,3.47,3.28,-0.29,Male,Hispanic
1516,Admitted,,3.95,3.97,,Male,Asian
1517,Reject Before Interview,502,3.62,3.72,-0.1,Male,White/Caucasian
1518,Reject Before Interview,492,3.93,3.92,0.13,Female,African American
1519,Admitted,508,3.02,3.46,-1.12,Female,Hispanic
1520,Reject Before Interview,510,3.6,3.73,0.38,Male,Asian
1521,Reject Before Interview,514,3.83,3.64,-1.24,Male,Hispanic
1522,Withdrawn within Match Range,514,3.28,3.35,0.94,Female,Hispanic
1523,Reject Before Interview,503,3.66,3.7,-0.91,Male,White/Caucasian
1524,Reject Before Interview,501,3.28,3.52,-2.01,Male,White/Caucasian
1525,Reject Before Interview,516,3.78,3.84,-0.83,Male,White/Caucasian
1526,Reject Before Interview,518,3.78,3.87,0.11,Male,White/Caucasian
1527,Reject Before Interview,507,3.95,3.97,0.21,Male,White/Caucasian
1528,Reject Before Interview,516,4,3.97,-1.05,Male,White/Caucasian
1529,Reject Before Interview,487,2.94,3.19,,Female,White/Caucasian
1530,Reject Before Interview,511,3.89,3.87,1.46,Male,White/Caucasian
1531,Reject After Interview,509,3.51,3.64,-0.7,Male,Asian
1532,Reject After Interview,501,3.39,3.63,-0.08,Male,African American
1533,Reject Before Interview,517,4,4,1.67,Female,Asian
1534,Reject Before Interview,500,3.55,3.63,,Female,Asian
1535,Reject Before Interview,502,3.75,3.84,-0.88,Male,White/Caucasian
1536,Reject Before Interview,508,3.17,3.09,1.02,Male,Asian
1537,Reject After Interview,515,3.69,3.86,-1.38,Female,Asian
1538,Waitlist Declined,515,4,4,-0.28,Male,Hispanic
1539,Reject Before Interview,503,3.85,3.86,-0.95,Male,African American
