gender,status,JAMP,Ethnicity,GPA_O,GPA_S,GPA_G,highest_mcat_2015,CASPer Score
Female,RB,N,White/Caucasian,3.96,3.96,4,507,0.57
Female,RB,N,White/Caucasian,3.97,3.94,0,511,1.09
Male,RB,N,White/Caucasian,3.8,3.69,0,513,-1.15
Female,RB,N,White/Caucasian,3.49,2.88,0,491,-0.58
Male,RB,N,White/Caucasian,3.75,3.77,0,519,0.45
Male,RB,N,White/Caucasian,3.83,3.72,0,508,
Male,RB,N,White/Caucasian,2.91,3.25,0,502,-2.54
Female,RB,N,White/Caucasian,3.06,2.91,3.03,494,0.51
Male,RB,N,White/Caucasian,3.73,3.65,0,511,-0.78
Female,RB,N,White/Caucasian,3.75,3.73,1.33,510,0.42
Female,RB,N,African American,2.97,2.61,0,483,-0.72
Male,RB,N,Unreported,3.52,3.42,3.66,511,0.45
Female,RB,N,White/Caucasian,3.76,3.61,0,511,1.08
Male,RB,N,White/Caucasian,3.69,3.6,0,507,0.02
Male,OA,N,Asian,4,4,0,524,
Male,RB,N,White/Caucasian,3.68,3.43,0,505,-1.47
Female,RB,N,African American,3.43,3.29,0,481,0.27
Female,RAI,N,White/Caucasian,3.99,3.99,0,511,0.26
Male,RB,N,White/Caucasian,3.84,3.8,0,509,0.69
Female,RB,N,White/Caucasian,3.78,3.6,0,507,
Female,RB,N,White/Caucasian,3.76,3.68,0,500,-0.76
Male,OA,N,White/Caucasian,4,4,0,518,
Male,WM,N,White/Caucasian,3.81,3.62,4,514,0.58
Male,WM,N,White/Caucasian,3.81,3.62,4,514,0.58
Female,RB,N,Hispanic,3.83,3.61,0,508,-1.44
Female,RB,N,White/Caucasian,3.43,3.23,4,503,
Female,RB,N,Hispanic,3.54,3.26,0,495,-0.73
Female,RB,N,Hispanic,3.54,3.45,4,509,
Decline to Answer,RB,N,Unreported,3.79,3.8,0,506,-1
Female,RB,N,Asian,3.65,3.43,0,503,-0.41
Female,RB,N,Hispanic,3.92,3.91,0,493,
Female,RB,N,White/Caucasian,2.61,2.35,3.66,490,
Female,RB,N,White/Caucasian,3.67,3.6,0,509,0.27
Male,RB,N,African American,3.53,3.41,0,482,
Male,RB,N,Hispanic,3.7,3.64,0,503,0.18
Male,RB,N,Hispanic,3.13,3.03,0,519,-0.79
Female,RB,N,Asian,3.94,3.89,0,516,1.26
Decline to Answer,WI,N,White/Caucasian,3.87,3.82,0,521,-0.65
Female,WM,Y,Hispanic,3.76,3.39,0,504,0.53
Female,RB,N,African American,2.59,3.03,0,,
Female,RB,N,White/Caucasian,2.62,2.46,0,489,
Male,RB,N,White/Caucasian,3.66,3.49,0,503,0.4
Female,RB,N,Hispanic,3.39,3.13,0,497,-1.14
Male,RB,N,Hispanic,3.64,3.43,3.78,497,-0.51
Male,RB,N,White/Caucasian,3.18,2.86,3.22,500,-1.42
Female,RB,N,White/Caucasian,3.86,3.74,0,501,
Female,RB,N,Hispanic,3.78,3.7,0,500,-1.22
Female,RB,N,African American,3.57,3.15,0,504,-0.79
Male,RB,N,Asian,3.48,3.46,0,502,-0.91
Male,RB,N,African American,3.7,3.57,0,495,-0.04
Male,RB,N,Unreported,3.65,3.66,0,511,0.86
Male,RB,N,African American,3.58,3.49,3.56,506,-1.14
Female,RB,N,African American,3.27,2.8,3.84,495,-1.62
Male,RB,N,African American,3.54,3.48,0,505,-1.43
Female,RAI,N,White/Caucasian,3.82,3.74,0,515,0.96
Female,RB,N,White/Caucasian,3.68,3.53,0,509,-1.03
Male,RB,N,Hawaiian/Pacific Islander,3.28,3.2,0,498,-0.15
Female,RB,N,White/Caucasian,3.93,3.91,0,503,
Male,RB,N,Hispanic,3.94,3.89,0,512,-1.85
Female,RB,N,Asian,3.58,3.61,0,514,-0.28
Male,RB,N,Asian,3.54,3.51,3.78,502,
Female,RB,N,White/Caucasian,3.68,3.64,0,509,
Male,RB,N,Asian,3.69,3.61,0,509,1.04
Male,RB,N,White/Caucasian,3.23,2.96,3.25,507,
Female,RB,N,White/Caucasian,3.86,3.75,0,506,-0.35
Male,RB,N,Unreported,4,4,0,504,0.69
Male,RB,N,White/Caucasian,3.99,3.99,0,507,
Female,RB,N,White/Caucasian,3.44,3.19,3.84,508,
Male,RAI,N,White/Caucasian,3.81,3.78,0,522,1.11
Female,RB,N,Multiple,3.3,3.06,0,,
Female,RB,N,African American,3.23,2.92,0,502,
Female,RB,N,Hispanic,3.92,3.89,0,496,-1.41
Male,RAI,N,White/Caucasian,3.81,3.71,0,517,-1.18
Female,RB,N,Asian,4,4,0,509,1.19
Male,RB,N,Asian,3.82,3.67,0,501,1.12
Female,RB,N,Asian,3.92,3.86,0,506,-0.28
Male,RB,N,Asian,3.6,3.54,3.3,513,-0.88
Male,RB,N,Asian,3.8,3.77,0,513,0.44
Female,WA,N,Asian,4,4,0,524,0.21
Female,WA,N,Asian,4,4,0,520,-0.19
Female,RB,N,Asian,3.34,3.13,2.29,505,0.8
Female,WA,N,Asian,3.82,3.88,0,522,-0.26
Male,RB,N,Asian,3.93,3.91,4,504,0.66
Female,WM,N,Asian,4,4,0,517,-0.81
Male,RAI,N,Hispanic,3.95,3.92,4,513,0.99
Female,RB,N,African American,3.72,3.56,0,501,-1.31
Female,RB,N,African American,3.67,3.57,0,482,-0.66
Male,RB,N,White/Caucasian,3.72,3.53,4,503,0.59
Female,WM,N,White/Caucasian,3.66,3.69,0,517,
Male,RB,N,Asian,3.87,3.84,0,515,
Female,RB,N,African American,3.58,3.29,0,503,-0.6
Male,RB,N,Asian,3.81,3.71,0,520,-0.6
Female,RB,N,African American,3.08,2.89,3.65,503,-2.11
Female,RB,N,White/Caucasian,3.31,3.12,0,490,
Male,RB,N,White/Caucasian,4,4,0,497,
Male,RB,N,Unreported,3.92,4,0,507,1.37
Female,RB,N,Asian,3.44,3.18,0,509,1.77
Female,WM,N,Asian,3.7,3.6,0,517,-0.23
Male,RB,N,Asian,3.99,3.99,0,508,0.67
Female,WB,N,Asian,3.65,3.42,0,524,1.78
Female,OA,N,Asian,3.82,3.66,0,515,
Male,RB,N,Asian,3.86,3.81,0,515,-0.24
Male,RB,N,White/Caucasian,3.44,3.03,0,519,-0.06
Female,RB,N,Asian,3.53,3.23,0,499,
Male,RB,N,Asian,3.88,3.93,0,516,-0.43
Female,RB,N,Asian,3.75,3.69,0,506,1.74
Male,RB,N,Asian,3.75,3.69,0,507,1.29
Female,RB,N,African American,3.37,3.42,0,495,-2.82
Female,RB,N,African American,3.59,3.44,0,,
Male,RB,N,White/Caucasian,3.27,3.34,0,512,0.12
Male,RB,N,White/Caucasian,3.37,3.19,0,498,-0.93
Male,RB,N,Multiple,3.59,3.39,0,502,-0.65
Female,RB,N,Hispanic,3.85,3.68,0,,
Female,RB,N,Hispanic,3.96,4,0,506,-0.38
Female,OA,N,Multiple,3.98,3.95,4,516,0.19
Female,RB,N,White/Caucasian,3.77,3.61,0,506,
Female,RB,N,White/Caucasian,3.79,3.69,0,509,0.58
Female,RAI,N,White/Caucasian,4,4,0,513,-0.28
Male,RB,N,White/Caucasian,3.89,3.86,0,510,-0.32
Male,WA,N,White/Caucasian,3.89,3.79,0,523,-0.58
Female,RB,N,White/Caucasian,3.97,4,0,515,0.12
Female,RB,N,White/Caucasian,3.79,3.86,0,507,0.37
Male,RB,N,White/Caucasian,3.06,3.42,0,505,-0.93
Female,RB,N,African American,2.84,2.57,0,497,-1.89
Female,RB,N,White/Caucasian,3.98,4,4,499,0.68
Male,RB,N,White/Caucasian,3.91,3.89,0,500,
Female,WM,N,African American,3.98,4,4,508,0.69
Female,RB,N,White/Caucasian,3.52,3.25,0,508,0.02
Female,RB,N,African American,3.08,2.83,3.86,492,-0.18
Male,RB,N,White/Caucasian,3.88,3.9,0,517,1.33
Male,WM,N,White/Caucasian,4,4,0,521,0.78
Female,RB,N,White/Caucasian,3.62,3.34,0,503,1.04
Female,RB,N,Hispanic,3.63,3.45,3.32,505,-0.95
Male,RB,N,Hispanic,3.67,3.57,0,507,0.66
Female,RB,N,White/Caucasian,3.91,3.87,0,508,0.65
Female,RB,N,Asian,3.58,3.39,0,509,
Female,RB,N,Asian,3.8,3.7,0,498,-0.67
Male,RB,N,Asian,3.7,3.67,0,501,-0.8
Female,RB,N,White/Caucasian,3.84,3.71,0,506,-0.81
Female,RB,N,White/Caucasian,3.5,3.51,0,509,0.68
Male,WM,N,Hispanic,3.85,3.87,1.13,510,-0.15
Female,RB,N,African American,3.92,3.91,3.78,500,1.24
Male,RB,N,Asian,3.82,3.73,0,503,0.49
Male,RB,N,Asian,2.98,2.73,3.18,518,1.2
Female,RB,N,White/Caucasian,3.81,3.69,0,500,-0.98
Male,RB,N,Asian,3.74,3.63,0,508,-1.3
Female,RB,N,Asian,3.71,3.52,0,504,-1.76
Female,WB,N,Asian,3.77,3.52,0,,
Male,RB,N,Hispanic,3.78,3.64,0,509,0.47
Female,RB,N,Asian,3.78,3.71,0,505,1.34
Female,RB,N,Hispanic,3.57,3.4,0,497,
Female,RB,N,White/Caucasian,3.75,3.73,0,512,
Male,RB,N,Hispanic,3.41,3.31,0,,
Male,RB,N,Hispanic,3.84,3.71,0,491,0.35
Male,RB,N,Hispanic,3.76,3.69,0,501,-1.31
Male,OA,N,Hispanic,4,4,0,515,-0.75
Female,WB,N,Hispanic,3.88,3.82,0,510,1.07
Male,RB,N,Hispanic,3.09,3.12,0,493,-0.57
Male,RB,N,Hispanic,3.18,2.74,0,502,
Female,RB,N,Hispanic,3.48,3.35,0,505,1.02
Female,RB,N,Hispanic,3.58,3.23,0,,
Female,RB,N,Hispanic,3.41,3.05,0.58,500,0.02
Male,RB,N,African American,3.48,3.26,0,475,
Female,WM,N,White/Caucasian,3.96,3.93,0,517,0.02
Female,RB,N,Hispanic,3.82,3.63,3.93,505,0.91
Male,RB,N,White/Caucasian,3.26,2.97,0,505,-0.9
Male,RAI,N,Asian,4,4,0,522,-0.2
Male,RAI,N,Asian,4,4,0,522,-0.2
Male,RB,N,White/Caucasian,3.65,3.52,0,493,-0.36
Female,OA,N,Asian,3.85,3.8,0,517,-0.27
Female,RB,N,Hispanic,3.69,3.5,0,490,-0.24
Male,RB,N,White/Caucasian,3.84,4,0,501,-0.78
Male,WM,N,African American,3.89,4,0,509,-1.93
Male,RB,N,White/Caucasian,3.81,3.57,0,513,1.35
Male,RB,N,African American,3.49,3.53,3,494,-1.04
Male,RB,N,White/Caucasian,3.71,3.59,0,,
Female,RB,N,White/Caucasian,3.53,3.41,0,510,-0.45
Female,RB,N,White/Caucasian,3.53,3.41,0,510,-0.45
Male,RB,N,White/Caucasian,3.51,3.53,0,506,-2.19
Male,RB,N,White/Caucasian,3.77,3.56,0,507,-0.91
Male,RB,N,White/Caucasian,3.95,3.93,0,515,-1.08
Male,RB,N,White/Caucasian,3.82,3.76,4,508,0.84
Female,WB,N,Asian,4,4,0,516,1.15
Female,RB,N,African American,3.49,3.09,3.7,,
Male,RB,N,Hispanic,3.92,3.83,0,505,-0.18
Male,RB,N,Hispanic,2.93,3.27,3.64,500,
Male,RB,N,Hispanic,3.81,3.88,0,501,
Female,RB,N,Hispanic,3.96,3.95,4,488,-0.64
Male,RB,N,White/Caucasian,3.24,3.22,0,516,0.01
Female,RB,N,Multiple,3.9,3.79,0,506,1.08
Male,RB,N,Asian,3.48,3.43,0,511,
Male,RB,N,White/Caucasian,3.24,3.51,3.88,516,
Female,RB,N,White/Caucasian,3.84,3.81,0,508,-0.65
Male,RB,N,Hispanic,3.74,3.8,0,489,-0.59
Female,RAI,N,Unreported,3.81,3.74,0,514,-0.73
Male,WM,Y,White/Caucasian,3.91,3.87,0,519,-0.03
Female,RB,N,Multiple,3.51,3.42,0,507,-0.49
Male,RB,N,Hispanic,3.34,2.81,3.54,507,1.16
Female,RB,N,Multiple,3.91,3.86,0,504,0.31
Male,RB,N,Asian,3.86,3.8,0,514,0.68
Female,RB,N,Hispanic,2.88,2.82,0,512,-1.93
Male,RB,N,White/Caucasian,3.81,3.81,0,511,0.51
Male,RB,N,White/Caucasian,3.91,3.88,0,511,-0.57
Female,RB,N,Asian,3.97,3.94,0,516,-0.16
Female,RB,N,Asian,3.5,3.19,2.67,504,0.08
Male,RB,N,White/Caucasian,3.84,3.89,0,517,
Female,RB,N,Asian,3.45,3.21,3.91,510,0.84
Male,RB,N,Asian,3.52,3.28,0,508,0.41
Female,RB,N,African American,4,4,0,495,
Male,RB,N,Unreported,3.36,3.41,3.9,515,-0.41
Female,RB,N,White/Caucasian,3.64,3.7,0,507,0.8
Male,RB,N,African American,3.51,3.4,0,484,1.21
Male,RB,N,African American,3.51,3.4,0,484,1.21
Female,RB,N,White/Caucasian,3.64,3.46,0,508,-0.88
Female,RB,N,Asian,4,4,0,510,
Male,RB,N,White/Caucasian,3.66,3.73,3.94,511,-1.4
Female,RB,N,White/Caucasian,3.53,3.3,0,500,
Male,RB,N,Asian,3.94,3.93,0,513,1.6
Female,RB,N,Asian,3.59,3.34,0,500,-0.2
Male,RB,N,Asian,3.25,3.1,0,513,-0.54
Male,RB,N,White/Caucasian,3.98,3.97,0,524,1.58
Male,RB,N,White/Caucasian,3.98,3.97,0,524,1.58
Male,RB,N,White/Caucasian,4,4,0,515,1.09
Female,RB,N,White/Caucasian,3.52,3.69,3.49,499,-1.02
Male,WM,Y,Hispanic,4,4,0,506,-0.15
Female,RB,N,Asian,3.97,3.95,0,501,1.41
Male,OA,N,Asian,4,4,0,521,0.01
Female,WM,N,Asian,3.82,3.71,0,517,0.42
Male,RB,N,Hispanic,3.7,3.31,0,506,
Male,RB,N,Hispanic,3.72,3.56,0,509,-0.14
Female,RB,N,Hispanic,3.88,3.75,0,508,
Male,RB,N,Hispanic,3.25,3.44,2.5,510,1.03
Female,RB,N,White/Caucasian,3.43,3.15,0,506,0.34
Male,RB,N,White/Caucasian,3.55,3.48,0,500,
Female,RAI,N,Multiple,3.77,3.48,0,521,0.73
Male,WB,N,White/Caucasian,3.33,3.19,0,,
Female,RB,N,White/Caucasian,3.94,3.94,0,504,1.5
Decline to Answer,RB,N,White/Caucasian,3.72,3.8,0,507,0.23
Male,RB,N,Hispanic,3.79,3.71,0,495,-1.08
Female,RB,N,African American,3.65,3.27,0,504,0.28
Female,RB,N,White/Caucasian,3.83,3.86,0,498,-2.25
Female,RB,N,White/Caucasian,3.69,3.58,2.53,511,-1.55
Male,WM,N,White/Caucasian,4,4,0,520,1.47
Male,RB,N,White/Caucasian,3.62,3.49,0,507,-0.15
Female,RB,N,Asian,3.94,3.96,3.33,512,-0.57
Female,RB,N,White/Caucasian,3.52,3.56,0,,
Female,RB,N,African American,3.96,3.92,0,500,
Female,RB,N,White/Caucasian,3.94,4,0,515,-0.75
Male,RAI,N,White/Caucasian,3.68,3.71,0,517,0.76
Female,RB,N,White/Caucasian,3.48,3.2,0,504,
Female,RB,N,White/Caucasian,3.53,3.29,0,504,0.22
Male,RB,N,Asian,3.5,3.32,3,511,1.02
Male,RB,N,Asian,3.37,3.42,0,516,-1.96
Male,RB,N,Asian,3.25,3.37,0,513,-1.69
Female,RAI,N,Asian,3.93,3.88,0,515,0.34
Female,RB,N,Asian,3.57,3.51,0,502,-0.76
Male,RB,N,Asian,3.32,3.15,3.92,507,0.73
Male,OA,Y,Asian,4,4,0,519,0.44
Male,RB,N,Asian,3.86,3.86,0,513,0.61
Male,RB,N,Asian,3.71,3.62,0,504,0.01
Female,RB,N,White/Caucasian,3.98,3.95,0,509,1.31
Female,RB,N,White/Caucasian,3.51,3.08,0,496,1.58
Female,RB,N,African American,3.66,3.62,3.68,487,
Female,RB,N,White/Caucasian,3.71,3.28,0,513,1.47
Female,WA,N,White/Caucasian,3.94,3.85,0,518,0.17
Female,RB,N,White/Caucasian,3.97,3.95,0,508,
Male,RB,N,White/Caucasian,3.42,3.27,0,,
Male,RB,N,White/Caucasian,3.92,3.89,0,522,0.12
Female,RB,N,Hispanic,3.88,3.86,0,489,-1.13
Female,RB,N,Hispanic,3.85,3.92,0,501,-0.68
Male,RB,N,Hispanic,3.22,3.08,0,505,
Male,RB,N,Hispanic,3.78,3.71,0,496,
Female,RB,N,African American,2.86,2.57,0,499,
Female,RB,N,Asian,3.49,3.15,3.68,,
Female,RB,N,White/Caucasian,3.94,3.85,3.99,510,1.02
Female,RB,N,White/Caucasian,3.71,3.59,0,502,
Female,RAI,N,White/Caucasian,3.69,3.53,0,515,1.3
Male,RB,N,Asian,3.92,3.88,0,519,0.6
Female,RB,N,Unreported,3.89,3.71,3.5,511,0.96
Female,RB,N,Multiple,2.98,2.78,0,498,
Female,RB,N,White/Caucasian,3.38,3.71,4,505,-1.31
Male,WM,N,Asian,4,4,0,516,-1.22
Female,RB,N,Hispanic,3.3,2.93,0,495,-0.65
Male,RB,N,White/Caucasian,3.97,3.96,0,515,2.29
Female,RB,N,White/Caucasian,3.72,3.52,0,514,
Male,RB,N,White/Caucasian,3.18,2.86,0,493,-0.66
Male,RB,N,White/Caucasian,3.38,3.29,3.51,495,-2.95
Male,RB,N,Unreported,3.91,3.93,0,,
Female,RB,N,African American,2.71,2.48,3.22,486,
Female,RB,N,White/Caucasian,3.71,3.53,0,499,1.16
Female,RAI,N,White/Caucasian,3.76,3.66,0,520,1.77
Male,RB,N,White/Caucasian,3.6,3.49,3.71,513,0.3
Female,RB,N,White/Caucasian,3.72,3.49,0,498,
Female,RB,N,White/Caucasian,3.98,3.97,0,511,-0.03
Female,RB,N,White/Caucasian,3.22,3,3.86,502,-0.06
Male,RAI,N,White/Caucasian,3.9,3.86,0,514,-0.44
Female,RB,N,White/Caucasian,3.96,3.94,0,,
Female,RB,N,Hispanic,3.44,3.23,0,498,-1.71
Male,RB,N,White/Caucasian,4,4,0,514,
Female,RB,N,Unreported,3.82,3.69,0,,
Male,WM,N,Hispanic,3.87,3.84,0,516,0.37
Male,RB,N,White/Caucasian,3.81,3.92,3.79,503,-3.03
Female,WB,N,White/Caucasian,3.85,3.43,0,520,1.46
Male,RB,N,Hispanic,2.43,1.95,4,500,-0.28
Male,RB,N,Hispanic,3.59,3.57,3.88,505,
Female,RB,N,White/Caucasian,3.6,3.41,0,507,0.09
Male,RB,N,White/Caucasian,3.74,3.65,0,,
Male,RB,N,White/Caucasian,3.44,3.19,3.8,505,-0.48
Female,RB,N,Asian,3.26,2.94,0,,
Male,RB,N,Asian,3.48,3.36,3.59,506,
Male,RB,N,Asian,3.85,3.86,0,513,1.24
Female,RB,N,Asian,3.36,3.28,3.65,511,-0.34
Male,WM,Y,Asian,4,4,0,508,0.02
Female,RB,N,Asian,3.35,3.14,4,508,-0.13
Male,RB,N,Asian,3.47,3.3,0,515,1.89
Male,RB,N,Asian,3.47,3.3,0,515,1.89
Female,RB,N,White/Caucasian,3.54,3.32,0,506,
Female,OW,N,White/Caucasian,3.97,3.92,0,514,1.97
Female,RB,N,White/Caucasian,3.7,3.58,0,508,0.56
Male,RB,N,White/Caucasian,3.37,3.92,0,512,-0.4
Male,RB,N,White/Caucasian,3.37,3.37,0,510,0.78
Female,WI,N,White/Caucasian,3.83,3.67,0,516,-1.22
Male,RB,N,Asian,2.69,2.32,0,493,
Male,RB,N,White/Caucasian,3.91,3.89,0,514,
Female,WM,N,White/Caucasian,3.85,3.74,0,515,0.73
Female,RB,N,Asian,3.52,3.21,0,501,-1.4
Male,RB,N,White/Caucasian,3.92,3.92,0,510,-0.28
Male,RB,N,African American,3.49,3.35,3.87,500,
Female,RB,N,White/Caucasian,3.95,3.98,2,507,-1.1
Female,RB,N,White/Caucasian,3.97,4,0,511,0.49
Female,RB,N,White/Caucasian,3.45,3.31,0,515,0.69
Female,RB,N,Hispanic,3.66,3.18,3.88,510,-0.43
Female,RB,N,White/Caucasian,4,4,0,511,0.93
Male,RB,N,White/Caucasian,3.85,3.78,0,506,-0.9
Male,RB,N,White/Caucasian,3.63,3.58,3.58,505,-1.62
Female,RB,N,Asian,3.81,3.73,0,509,-0.89
Female,RB,N,Hispanic,3.73,3.66,4,497,0.65
Male,RB,N,Asian,4,4,0,515,1.12
Female,RB,N,African American,2.99,2.67,0,495,-0.32
Female,RB,N,African American,3.6,3.4,3.57,504,-1.27
Male,RB,N,Hispanic,3.68,3.62,0,493,
Female,RB,N,Asian,3.39,3.26,0,500,
Male,WA,N,African American,3.73,3.59,0,519,
Male,WB,N,Asian,3.65,3.22,0,508,1.6
Male,RB,N,White/Caucasian,3.05,3.06,3.69,516,
Female,RAI,N,White/Caucasian,3.77,3.63,0,520,1.95
Female,RB,N,White/Caucasian,3.48,3.43,0,510,-0.51
Male,RB,N,White/Caucasian,3.43,3.25,0,502,-0.64
Male,RB,N,White/Caucasian,3.54,3.61,0,501,
Male,RB,N,White/Caucasian,3.7,3.69,0,501,0.35
Male,RB,N,White/Caucasian,3.72,3.84,0,511,-0.78
Female,WM,N,White/Caucasian,3.71,3.46,0,520,1.33
Female,RB,N,African American,2.75,2.62,3.39,502,-1.64
Male,OA,N,White/Caucasian,3.93,3.89,0,519,0.96
Male,RB,N,White/Caucasian,3.66,3.71,0,513,-0.93
Male,RB,N,White/Caucasian,3.46,3.39,0,513,-1.18
Male,RB,N,African American,3.3,3.04,0,495,-0.87
Male,RB,N,African American,3.12,3,0,475,
Male,OA,N,Hispanic,3.93,3.92,0,509,-1.3
Female,RB,N,Asian,3.32,2.71,0,507,
Female,WM,N,African American,4,4,0,507,-0.38
Male,RB,N,White/Caucasian,3.33,3.77,0,507,-0.79
Female,RB,N,African American,2.97,2.99,4,491,-1.98
Male,RB,N,Hispanic,3.16,2.98,0,500,-0.03
Male,RB,N,Asian,3.63,3.51,3.64,513,-0.25
Female,WM,N,White/Caucasian,3.8,3.93,0,518,1.36
Female,RB,N,African American,3.91,3.9,0,,
Female,WB,N,African American,3.27,2.88,3.88,,
Male,RB,N,White/Caucasian,3.04,2.97,0,500,-0.2
Male,RB,N,White/Caucasian,3.39,3.78,0,506,
Male,RB,N,Hispanic,3.74,3.9,3.8,507,
Female,RB,N,Unreported,3.94,3.9,0,502,
Female,RB,N,Asian,3.45,3.35,0,498,-0.2
Female,RB,N,African American,2.78,2.67,3.25,500,-1.87
Female,RB,N,African American,2.78,2.67,3.25,500,-1.87
Female,WM,N,African American,4,4,0,509,1.97
Female,RB,N,African American,3.39,3.56,0,,
Female,RB,N,African American,3.35,2.9,0,485,
Female,RB,N,White/Caucasian,3.18,3.06,0,510,0.6
Male,WI,N,White/Caucasian,3.89,3.83,0,517,-0.75
Male,RB,N,African American,3.66,3.59,3.43,500,-0.31
Female,RB,N,White/Caucasian,3.75,3.62,0,498,1.03
Female,RB,N,African American,3.06,3.03,0,502,-1.08
Female,RB,N,African American,2.92,2.72,0,496,0.01
Male,RB,N,White/Caucasian,3.58,3.53,0,511,-1.07
Female,WA,N,African American,3.73,3.68,0,512,-0.68
Female,RB,N,White/Caucasian,3.7,3.59,0,504,-0.66
Female,RB,N,White/Caucasian,3.84,3.7,0,497,0.6
Male,RB,N,Asian,3.55,3.5,0,520,-0.45
Female,WB,N,White/Caucasian,3.97,3.95,0,512,
Male,RB,N,White/Caucasian,3.3,3.13,3.28,510,
Male,RAI,N,Multiple,3.82,3.93,0,512,-0.44
Female,RB,N,Multiple,3.99,3.98,0,500,-1.79
Male,RB,N,International,0,0,0,511,-0.02
Male,RB,N,White/Caucasian,3.42,3.31,4,504,0.37
Female,RB,N,Hispanic,3.81,3.7,0,505,
Female,RB,N,Hispanic,2.43,2.19,0,490,
Female,RB,N,Hispanic,3.4,3.35,3.79,492,
Female,RB,N,Hispanic,3.3,3.03,3.33,512,0.12
Female,RB,N,Hispanic,3.07,2.49,0,488,
Male,RB,N,Hispanic,2.98,2.97,0,485,-0.72
Male,RB,N,White/Caucasian,3.28,3.16,0,504,0.66
Female,RB,N,White/Caucasian,3.58,3.48,0,495,-0.09
Male,RB,N,White/Caucasian,3.59,3.71,0,499,
Female,RB,N,White/Caucasian,3.64,3.41,0,498,-0.52
Female,RB,N,White/Caucasian,3.96,4,0,,
Female,RB,N,Multiple,3.7,3.43,0,511,
Male,RB,N,White/Caucasian,4,4,0,516,-1.07
Male,WA,N,White/Caucasian,4,4,0,525,-0.2
Male,RB,N,White/Caucasian,3.71,3.59,0,510,-0.29
Male,RB,N,White/Caucasian,3.51,3.39,0,512,-0.95
Female,RB,N,White/Caucasian,3.91,3.85,0,502,0.19
Female,RB,N,White/Caucasian,3.65,3.42,0,514,-2.11
Male,RB,N,African American,3.55,3.88,0,496,-0.79
Male,RB,N,African American,3.64,3.48,0,485,-2.01
Female,RB,N,White/Caucasian,3.71,3.34,0,522,1.54
Female,OA,Y,White/Caucasian,3.98,3.96,0,506,-1.24
Male,RB,N,White/Caucasian,2.92,2.88,3.83,509,0.59
Female,RB,N,White/Caucasian,3.81,3.73,0,509,-1.41
Female,WA,N,African American,3.88,3.88,0,510,-0.36
Female,RB,N,White/Caucasian,3.09,2.54,0,505,
Male,RB,N,African American,3.56,3.48,0,504,-0.64
Female,RB,N,White/Caucasian,3.61,3.37,0,,
Female,RB,N,Hispanic,3.7,3.52,0,508,
Female,RB,N,White/Caucasian,3.72,3.56,4,504,
Male,WA,N,African American,3.92,3.92,0,515,-1.14
Female,RB,N,White/Caucasian,3.34,3.22,0,511,-0.89
Male,RB,N,Multiple,3.47,3.51,0,509,-0.83
Female,RB,N,White/Caucasian,4,4,0,511,-0.14
Female,RB,N,Hispanic,3.67,3.43,3.9,500,-0.25
Male,RB,N,White/Caucasian,3.78,3.79,0,510,
Male,RB,N,White/Caucasian,2.58,2.26,0,492,
Male,RB,N,Hispanic,3.45,3.61,0,487,
Female,WA,N,Hispanic,4,4,0,524,0.99
Male,RB,N,Hispanic,3.17,2.9,3.47,511,0.12
Male,RAI,N,Hispanic,3.75,3.68,0,512,1.45
Female,RB,N,Hispanic,3.57,3.27,4,503,
Female,OA,N,Hispanic,3.76,3.74,0,521,0.12
Male,RB,N,Hispanic,3.51,3.13,0,505,-0.23
Female,RB,N,Hispanic,3.33,3.05,3.77,505,-0.73
Male,OA,N,Hispanic,3.93,3.96,0,516,-1.72
Male,RB,N,Hispanic,3.7,4,3.29,507,
Female,RB,N,White/Caucasian,3.34,3.11,3.39,513,1.07
Male,RB,N,Asian,3.9,3.85,0,517,0.01
Female,RB,N,White/Caucasian,3.79,3.71,0,507,-0.19
Male,RB,N,African American,3.54,3.41,0,478,-2.56
Female,RB,N,White/Caucasian,3.46,3.15,3.92,496,-1.13
Female,WM,Y,White/Caucasian,3.95,4,0,503,-0.29
Male,RB,N,Asian,3.6,3.49,3.82,515,1.12
Male,RB,N,Asian,3.6,3.49,3.82,515,1.12
Male,RB,N,African American,2.83,2.56,3.83,504,-0.75
Male,RB,N,African American,3.77,3.8,0,505,0.29
Female,RB,N,African American,2.89,2.59,0,492,
Male,RB,N,White/Caucasian,3.97,3.96,0,509,0.81
Female,WM,Y,Multiple,3.93,3.87,0,515,-0.82
Female,WI,N,White/Caucasian,3.95,3.94,0,523,1.57
Male,RB,N,White/Caucasian,3.69,3.5,0,505,0.3
Male,OA,N,White/Caucasian,4,4,0,525,2.02
Female,RB,N,African American,3.79,3.88,0,490,
Male,RB,N,African American,3.57,3.42,0,500,-1.15
Female,RB,N,African American,3.65,3.33,0,495,
Male,RB,N,African American,3.38,3.24,3.82,512,-0.74
Female,RB,N,African American,3.29,3.1,0,502,-0.45
Male,RAI,N,White/Caucasian,3.94,4,0,519,-0.51
Female,RB,N,African American,3.63,3.6,0,495,-1.27
Male,RB,N,White/Caucasian,3.92,3.95,0,509,-0.17
Female,RB,N,African American,3.37,3.19,3.5,492,-1.41
Male,RB,N,White/Caucasian,3.48,3.35,0,516,-0.27
Female,RB,N,White/Caucasian,4,4,0,507,
